Year,Country,Code,Earths,HDI,Population,BiocapPerCap,BiocapTotGHA,EFConsPerCap,EFConsTotGHA,DeRe,Percentage,Region,Income,id
1992,Papua New Guinea,PG,0.6634931864573509,0.39800000190734863,4535520.0,6.04143178139102,27401034.791131306,1.3408107458456,6081273.98018536,4.70062103554542,0.7780640758080558,Asia-Pacific,LM,PNG
1993,Papua New Guinea,PG,0.6923920239281229,0.4099999964237213,4651169.0,5.920071348118071,27535257.7897208,1.37191984985375,6381032.34086302,4.5481514982643185,0.7682595750657853,Asia-Pacific,LM,PNG
1994,Papua New Guinea,PG,0.619951079145191,0.4169999957084656,4770606.0,5.75050326469628,27433407.5933911,1.2196544522851,5818495.55986618,4.53084881241118,0.7879047456988936,Asia-Pacific,LM,PNG
1995,Papua New Guinea,PG,0.5813485663976389,0.42500001192092896,4894276.0,5.581587484531619,27317850.794624202,1.12226515577925,5492679.66551562,4.45932232875237,0.7989344144673161,Asia-Pacific,LM,PNG
1996,Papua New Guinea,PG,0.6064618508804039,0.4320000112056732,5022437.0,5.52422220462525,27745074.245713104,1.17358777314912,5894274.10661016,4.35063443147613,0.7875560160910049,Asia-Pacific,LM,PNG
1997,Papua New Guinea,PG,0.5530815310565635,0.4350000023841858,5154910.0,5.38201432375152,27743800.2985897,1.0598693030512099,5463531.03459628,4.32214502070031,0.8030720025448704,Asia-Pacific,LM,PNG
1998,Papua New Guinea,PG,0.7220028643845954,0.4410000145435333,5291178.0,5.26527918230801,27859540.82938189,1.37453009966282,7272886.41435055,3.89074908264519,0.7389444980844678,Asia-Pacific,LM,PNG
1999,Papua New Guinea,PG,0.656758350234975,0.4449999928474426,5430479.0,5.17392520856514,28096897.2655556,1.23823726603268,6724222.68426082,3.9356879425324602,0.7606773936386153,Asia-Pacific,LM,PNG
2000,Papua New Guinea,PG,0.6379216937784321,0.4490000009536743,5572222.0,5.0624042007865,28208831.0233324,1.18605839561014,6608978.56800399,3.87634580517636,0.7657124266320194,Asia-Pacific,LM,PNG
2001,Papua New Guinea,PG,0.6720200366925064,0.4560000002384186,5716152.0,4.857059657762231,27763681.088395398,1.2404120706142,7090381.33630739,3.6166475871480297,0.7446166697516561,Asia-Pacific,LM,PNG
2002,Papua New Guinea,PG,0.8375748357317039,0.4620000123977661,5862316.0,4.759480552662679,27901597.196858,1.5242174746919799,8935450.31830746,3.2352630779707003,0.679751296842833,Asia-Pacific,LM,PNG
2003,Papua New Guinea,PG,0.7524726945618836,0.4690000116825104,6010724.0,4.62255729187207,27784898.558528803,1.3495182528078795,8111576.64245297,3.27303903906419,0.7080580796303458,Asia-Pacific,LM,PNG
2004,Papua New Guinea,PG,1.0676656454364537,0.472000002861023,6161517.0,4.53438575230599,27938708.5891106,1.93260727874123,11907798.437855901,2.6017784735647598,0.5737885163920183,Asia-Pacific,LM,PNG
2005,Papua New Guinea,PG,1.10703659357776,0.4790000021457672,6314709.0,4.4214894592600595,27920423.53056961,1.9641255483467999,12402883.1646774,2.4573639109132603,0.5557773988959146,Asia-Pacific,LM,PNG
2006,Papua New Guinea,PG,1.0746903812449913,0.4839999973773956,6470272.0,4.30157527780062,27832353.5567102,1.88788414730689,12215120.1986681,2.4136911304937305,0.5611179567053496,Asia-Pacific,LM,PNG
2007,Papua New Guinea,PG,1.1239279420654702,0.4990000128746033,6627922.0,4.30695548206384,28546156.0421997,1.9571338094646693,12971726.165525999,2.3498216725991696,0.5455876389679245,Asia-Pacific,LM,PNG
2008,Papua New Guinea,PG,1.0236068590623508,0.5030000209808351,6787187.0,4.188192609678049,28426058.753078803,1.7883396626112802,12137800.969893195,2.39985294706677,0.5730044366921436,Asia-Pacific,LM,PNG
2009,Papua New Guinea,PG,1.082551080998863,0.5099999904632568,6947447.0,4.10800851363864,28540184.5504242,1.86055679693416,12926125.6822502,2.24745171670448,0.5470903259433157,Asia-Pacific,LM,PNG
2010,Papua New Guinea,PG,1.078628854905331,0.5199999809265137,7108239.0,3.996089245584721,28405162.3556185,1.83452983786401,13040278.8046664,2.16155940772071,0.5409187019806971,Asia-Pacific,LM,PNG
2011,Papua New Guinea,PG,0.9255301925645129,0.5289999842643738,7269348.0,3.9151824516301,28460831.937099297,1.56620703152614,11385307.2375745,2.34897542010396,0.5999657612701946,Asia-Pacific,LM,PNG
2012,Papua New Guinea,PG,1.0074923885595926,0.5299999713897705,7430836.0,3.81871285522188,28376243.636423104,1.67893526752228,12475899.0809816,2.1397775876996,0.5603400069145215,Asia-Pacific,LM,PNG
2013,Papua New Guinea,PG,0.9762994618285392,0.5339999794960022,7592865.0,3.7641308987685798,28580557.0184421,1.6346650806461105,12411799.642447801,2.12946581812247,0.5657257612425529,Asia-Pacific,LM,PNG
2014,Papua New Guinea,PG,1.089863778983948,0.5360000133514404,7755785.0,3.6909440795901096,28626187.3272217,1.81571998393426,14082342.9651241,1.87522409565585,0.5080608254200641,Asia-Pacific,LM,PNG
2015,Papua New Guinea,PG,0.999053507854734,0.5419999957084656,7919825.0,3.6335270432393396,28776916.766727503,1.64388919035571,13019323.0548837,1.9896378528836296,0.5475775545927519,Asia-Pacific,LM,PNG
2016,Papua New Guinea,PG,1.0716774635341466,0.5429999828338623,8084991.0,3.57194488909468,28879139.5460562,1.74656710772159,14120978.0096096,1.8253777813730896,0.5110318994411297,Asia-Pacific,LM,PNG
1990,Philippines,PH,0.5748712084830399,0.5860000252723694,61947348.0,0.688871719644149,42673743.616493,1.18913441363305,73663667.19066179,-0.500262693988901,-0.7262058808965508,Asia-Pacific,LM,PHL
1991,Philippines,PH,0.5735187237271093,0.5870000123977661,63508460.0,0.6714817547774039,42644799.0232807,1.1582122872667,73556325.0458772,-0.48673053248929604,-0.72486039870234,Asia-Pacific,LM,PHL
1992,Philippines,PH,0.575487475582619,0.5889999866485596,65075484.0,0.65548586912281,42656070.67610139,1.16296565979933,75680571.7942715,-0.50747979067652,-0.7742040135138901,Asia-Pacific,LM,PHL
1993,Philippines,PH,0.5826715035208525,0.5910000205039978,66650248.0,0.6494918834374991,43288765.9591481,1.15451734566395,76948815.59983829,-0.505025462226451,-0.7775700899502462,Asia-Pacific,LM,PHL
1994,Philippines,PH,0.6193167515484834,0.5950000286102295,68236224.0,0.644350897423665,43968058.72037721,1.2184065143371599,83139434.40113342,-0.5740556169134949,-0.8909052803507614,Asia-Pacific,LM,PHL
1995,Philippines,PH,0.6422696540001154,0.5979999899864197,69835720.0,0.6260989149334201,43724057.9501749,1.2398703548289198,86587218.0133206,-0.6137714398955001,-0.9803106589967006,Asia-Pacific,LM,PHL
1996,Philippines,PH,0.6801646290033735,0.6060000061988831,71446112.0,0.6297679013466221,44994461.4404132,1.31621286840725,94038278.2740937,-0.6864449670606281,-1.0899967521253695,Asia-Pacific,LM,PHL
1997,Philippines,PH,0.7025855419394585,0.6110000014305115,73064768.0,0.6378208829355619,46602253.25432,1.34636361342009,98371783.93442953,-0.708542730484528,-1.1108804202575957,Asia-Pacific,LM,PHL
1998,Philippines,PH,0.6467619427716913,0.6150000095367432,74693696.0,0.59075224123387,44125472.5271511,1.23128840827222,91969490.82873908,-0.6405361670383499,-1.0842720895996925,Asia-Pacific,LM,PHL
