Year,Country,Cropland,Grazing,Forest,Fishing,Builtup,Carbon
2001,Northern Africa,0.2910365710203123,0.4056206833604346,0.1178659329576984,0.11212717994954917,0.06396922320357999,0.0
2002,Northern Africa,0.2812977709926223,0.3991308923690165,0.11568217732196867,0.11015020188883276,0.06417056965243338,0.0
2003,Northern Africa,0.34567277515428585,0.3911872430857625,0.11293641243324085,0.10770448417876674,0.06956459485241229,0.0
2004,Northern Africa,0.3259796769042967,0.3856442437892066,0.11056595661334137,0.10561883155105874,0.06912304696845528,0.0
2005,Northern Africa,0.3086249282740231,0.3771172038929968,0.10823095336018093,0.10327289424666852,0.06830010835540748,0.0
2006,Northern Africa,0.33797940266486864,0.3715986969200486,0.1064798280814586,0.10127301356605184,0.07276086362070967,0.0
2007,Northern Africa,0.2896331759185561,0.36494091051159705,0.10434267525399303,0.09940210817616227,0.06738693876239757,0.0
2008,Northern Africa,0.2848508548288098,0.35957542052723707,0.1022910938450679,0.0979279160898036,0.0680469448854211,0.0
2009,Northern Africa,0.3367490579453405,0.2786655411566757,0.09993725726899834,0.09659657130240906,0.0715431402909732,0.0
2010,Northern Africa,0.2838016178029758,0.2677897030232246,0.09807430376294013,0.0945189006641072,0.06340688122039767,0.0
2011,Northern Africa,0.2995476852483636,0.21109096875586855,0.09560992159725107,0.0704800816209749,0.06869827471226056,0.0
2012,Northern Africa,0.29430367050425993,0.20662137671043396,0.09297849706250504,0.06899835656601172,0.06911052543278101,0.0
2013,Northern Africa,0.3282880715633566,0.20327624326148294,0.09041426803170624,0.06786366487137119,0.07224896814426104,0.0
2014,Northern Africa,0.32417439940060605,0.1997749133815528,0.08790766796695157,0.06668976566059373,0.07290804800323956,0.0
2015,Northern Africa,0.3110991173458285,0.19646954683934573,0.08535760404340356,0.06558534773897542,0.07182978315103056,0.0
2016,Northern Africa,0.2925122368187412,0.19291321452457086,0.08326803395686087,0.06442124990008218,0.07128899499823067,0.0
1961,North America,1.2290251691853418,0.5339868337844711,3.983921887602953,1.1466469608616332,0.036521318163404606,0.0
1962,North America,1.2556558948892738,0.5257685864051324,3.9246649869379087,1.1271150164476118,0.03709384511360967,0.0
1963,North America,1.3355092820940295,0.5106527440697379,3.864512661880963,1.107728872937686,0.03900281391983163,0.0
1964,North America,1.211336924665264,0.5028203819879609,3.811512748450357,1.0909737370269987,0.03671691845359164,0.0
1965,North America,1.339536007996792,0.4928385014082524,3.7669932327508704,1.073855851819524,0.04114144662530465,0.0
1966,North America,1.3211827007618655,0.489880049495814,3.7287591882772912,1.0613626554378317,0.04073058910580691,0.0
1967,North America,1.3327788564812468,0.4824007343569109,3.6875338630536167,1.0471504706226449,0.04303884982748092,0.0
1968,North America,1.3872004214743567,0.4665656908620095,3.63919212035017,1.0347054983972626,0.04340434865010097,0.0
1969,North America,1.414049993905096,0.4454076874628081,3.596071441688621,1.0175902770327103,0.0425107078080741,0.0
1970,North America,1.3144861276917608,0.4390487042833832,3.5560734538881884,1.0099638850439598,0.040297090078702025,0.0
1971,North America,1.4859022264987052,0.4312302461739833,3.5151291567645258,0.9987731752989832,0.0457784232703146,0.0
1972,North America,1.4171790237425173,0.4296183013463852,3.4755240854780176,0.9926578443368772,0.0445456415096625,0.0
1973,North America,1.4665119598818532,0.4236639338002371,3.4406667705472853,0.9771795959111336,0.04688099462816421,0.0
1974,North America,1.2829333997207868,0.4219905078012097,3.3965192414304037,0.9711878147983066,0.04174904826053693,0.0
1975,North America,1.4589502293530754,0.4194128405640225,3.3588883135475998,0.9614500383843376,0.047660317649182604,0.0
1976,North America,1.4492604776391578,0.4165220362417058,3.3004639518071923,0.9510737330895443,0.04764260511257702,0.0
1977,North America,1.5182644680658337,0.4130988574827848,3.262878529014756,0.9462954709862847,0.0504115151151173,0.0
1978,North America,1.5315013623971718,0.4024713242694527,3.222379302505753,0.9385957458007118,0.05083195100603051,0.0
1979,North America,1.6183159209069142,0.3978404330518373,3.1833179072700983,0.9311889609820369,0.054866372556356326,0.0
